[2024-12-29 19:23:56 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-29 19:23:56 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: Array
[2024-12-29 19:25:17 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-29 19:25:17 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-29 19:25:17 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: Array
[2024-12-29 19:26:49 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-29 19:26:49 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-29 19:26:49 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: Array
[2024-12-29 19:26:49 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM user WHERE id = ?
[2024-12-29 19:28:17 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-29 19:28:17 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-29 19:28:17 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: Array
[2024-12-29 19:28:17 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM user WHERE id = ?
[2024-12-30 18:02:28 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-30 18:02:28 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-30 18:02:28 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: Array
[2024-12-30 18:02:28 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM user WHERE id = ?
[2024-12-30 18:32:19 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-30 18:32:19 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-30 18:32:19 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: Array
[2024-12-30 18:32:19 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM user WHERE id = ?
[2024-12-30 18:32:46 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
